time,mnvel,errvel,tel,svalue
2454489.511933,34187.6,0009.0,SOPHIE,\nodata
2454491.506174,34157.8,0009.0,SOPHIE,\nodata
2454842.840254,34235.1,0010.0,HARPS,\nodata
2454856.625439,34197.3,0012.0,HARPS,\nodata
2454862.594949,34214.8,0013.0,HARPS,\nodata
2455188.830489,34186.0,0010.0,HARPS,\nodata
2455189.820368,34194.1,0010.0,HARPS,\nodata
2455190.799005,34220.2,0009.0,HARPS,\nodata
2455214.858514,34154.2,0013.0,HARPS,\nodata
2455216.704656,34183.8,0012.0,HARPS,\nodata
2455594.791677,34203.6,0014.0,HARPS,\nodata
2455977.662362,34221.6,0010.0,HARPS,\nodata
2455986.514708,34153.1,0009.0,SOPHIE,\nodata
2456219.988520,34230.4,0027.0,HET,\nodata
2456243.934060,34153.4,0028.0,HET,\nodata
2456245.810396,34176.6,0017.0,HARPS,\nodata
2456270.772624,34193.0,0019.0,HARPS,\nodata
2456286.004460,34115.4,0025.0,HET,\nodata
2456305.693328,34201.2,0014.0,HARPS,\nodata
2456316.768414,34189.0,0012.0,HARPS,\nodata
2456322.710862,34177.7,0021.0,HARPS,\nodata
2456338.660790,34215.4,0026.0,HET,\nodata
2456378.723430,34183.4,0026.0,HET,\nodata
2456653.694950,34210.6,0018.0,HARPSN,\nodata
2456693.547777,34200.9,0019.0,HARPSN,\nodata
2456718.327500,34154.2,0020.0,SOPHIE,\nodata
2456720.518422,34186.1,0017.0,SOPHIE,\nodata
2456721.482134,34202.5,0016.0,SOPHIE,\nodata
2456977.848150,34172.6,0014.0,HARPS,\nodata
